NOMBRE DEL PLATILLO|ORIGEN|RENDIMIENTO (PERSONAS)|PREPARACIÓN (MIN)|COCCIÓN (MIN)|REPOSO (MIN)|REFRIGERACIÓN (MIN)|CONGELACIÓN (MIN)|DIFICULTAD|COSTO|INGREDIENTES|TIPO|Epoca|Categoría 
SALSA MISCELANEA|OAXACA|8|10|10|0|0|0|1|1|CHILE MORITA, CHILE CASCABEL, CHILE CHIPOTLE, CHILE ANCHO, ACEITE, PIMIENTA, COMINO, PIMENTON, OREGANO, PILONCILLO, SAL|SALSAS DE CHILES SECOS|Conquista y Virreinato (1521 – 1821)|Salsas y aderezos
SALSA PAPALOQUELITE|HIDALGO|8|10|0|0|0|0|1|1|CHILE MORITA, CHILE JALAPEÑO, TOMATE, AJO, PAPALOQUELITE, CEBOLLA, LIMON, ACEITE, SAL|SALSAS DE TOMATE Y JITOMATE|México Prehispánico (Antes de 1521)|Salsas y aderezos
SALSA PARA ENCHILADAS|CIUDAD DE MEXICO|8|10|15|0|0|0|1|1|CHILE ANCHO, CEBOLLA, JITOMATE, AJO, ACEITE, PIMIENTA, SAL|SALSAS DE CHILES SECOS|Conquista y Virreinato (1521 – 1821)|Salsas y aderezos
SALSA ROJA DE CHILE CRIOLLO|MICHOACAN|4|10|15|0|0|0|1|1|HUEVO, ACEITE, CHILE ROJO, CHILE VERDE, AJO, JITOMATE, SAL|SALSAS REGIONALES|México Prehispánico (Antes de 1521)|Salsas y aderezos
SALSA ROJA DE CHILE GUAJILLO|MICHOACAN|8|15|15|0|0|0|1|1|CHILE GUAJILLO, JITOMATE, COMINO, AJO, CEBOLLA, ACEITE, SAL|SALSAS REGIONALES|México Prehispánico (Antes de 1521)|Salsas y aderezos
SALSA VERACRUZANA|VERACRUZ|24|10|50|0|0|0|1|1|ACEITE DE OLIVA, AJO, CEBOLLA, ACEITUNA, ALCAPARRA, JITOMATE, SAL, CHILE JALAPEÑO, TOMILLO, LAUREL, MEJORANA|SALSAS DE CHILES SECOS|Conquista y Virreinato (1521 – 1821)|Salsas y aderezos
SALSA VERDE MORELENSE|MORELOS|8|10|10|0|0|0|1|1|CHILE SERRANO, TOMATE VERDE, ACEITE, AJO, EPAZOTE, SAL|SALSAS REGIONALES|México Prehispánico (Antes de 1521)|Salsas y aderezos
SALSA VERDE NORTEÑA PARA MIXIOTES|CHIHUAHUA|10|10|25|0|0|0|1|2|TOMATE VERDE, CEBOLLA, CHILE SERRANO, MANTECA, AGUACATE, LECHUGA|SALSAS DE CHILES SECOS|Revolución Mexicana (1910 - 1940)|Salsas y aderezos
SALSA X NI PEK|YUCATAN|8|5|0|30|0|0|1|1|JITOMATE, CEBOLLA, CILANTRO, CHILE HABANERO, NARANJA, SAL|ESPECIALIDADES YUCATECAS|México Prehispánico (Antes de 1521)|Salsas y aderezos
SALSAS DE FRUTAS|CIUDAD DE MEXICO|12|10|0|0|0|0|1|1|PULPA DE FRUTA, AZUCAR, LIMON, AGUA|DULCES Y POSTRES|México Contemporáneo (1940 - Actualidad)|Salsas y aderezos
SALSAS DE JITOMATE (CRUDA, COCIDA, FRITA, ASADA, CALDILLO DE JITOMATE)|CIUDAD DE MEXICO|16|0|0|0|0|0|0|0|JITOMATE, CHILE SERRANO, AJO, CEBOLLA, ACEITE, CILANTRO, AGUA, SAL|SALSAS DE TOMATE Y JITOMATE|México Prehispánico (Antes de 1521)|Salsas y aderezos
SALSAS DE TOMATE (CRUDA, COCIDA, FRITA, ASADA)|JALISCO|16|0|0|0|0|0|0|0|TOMATE VERDE, CEBOLLA, CHILE SERRANO, CILANTRO, AJO, ACEITE, AZUCAR, SAL|SALSAS DE TOMATE Y JITOMATE|México Prehispánico (Antes de 1521)|Salsas y aderezos
SARDINAS A LA PARRILLA|BAJA CALIFORNIA|6|15|2|0|0|0|2|2|SARDINA, ACEITE DE OLIVA, CHILE SECO, JITOMATE, LIMON, SAL|PLATOS PRINCIPALES CON PESCADOS Y MARISCOS|Influencia europea / Porfiriato (1821 - 1910)|Pescados y mariscos
SEMITAS DE ANIS|NUEVO LEON|8|40|25|0|0|0|1|1|ANIS, AGUA, HARINA DE TRIGO, CERDO, PILONCILLO, SAL, POLVO PARA HORNEAR, SAL, AZUCAR|PANES Y GALLETAS|Conquista y Virreinato (1521 – 1821)|Panes y masas
SISGUA|TABASCO|12|15|120|0|0|0|2|2|ELOTE, HUEVO, AZUCAR, CERDO, MANTEQUILLA, LECHE, QUESO AÑEJO|DULCES Y POSTRES|México Prehispánico (Antes de 1521)|Sopas y caldos
SOPA AROMATICA DE LIMA|YUCATAN|10|20|45|0|0|0|2|2|PAVO, CALDO DE AROMAS, LIMA, CHILE GUERO, JITOMATE, CILANTRO, EPAZOTE, TORTILLA, CHILE HABANERO, SAL|SOPA|Conquista y Virreinato (1521 – 1821)|Sopas y caldos
SOPA BORRACHA|VERACRUZ|8|90|40|0|0|0|3|3|HARINA, MANTEQUILLA, PINOLE, POLVO PARA HORNEAR, HUEVO, AZUCAR, ALMENDRA, CANELA, JEREZ, PASA, PIÑON, COCO|DULCES Y POSTRES|Conquista y Virreinato (1521 – 1821)|Sopas y caldos
SOPA DE ARROZ Y ALMEJAS|NAYARIT|6|15|30|0|0|0|2|3|CALDO DE PESCADO, PEREJIL, CILANTRO, ALBAHACA, CHILE CHILACA, CEBOLLA, AJO, ACEITE DE MAIZ, ARROZ, ALMEJA, SAL|SOPA|Conquista y Virreinato (1521 – 1821)|Sopas y caldos
SOPA DE CAMOTE Y PECHUGA|QUERETARO|6|60|50|0|0|0|2|2|CAMOTE, GALLINA, HUEVO, CERDO, NUEZ MOSCADA, PIMIENTA, CALDO DE POLLO, CILANTRO, SAL, PIMIENTA|SOPA|Conquista y Virreinato (1521 – 1821)|Sopas y caldos
SOPA DE CHAPULINES|OAXACA|6|10|25|0|0|0|2|2|MANTEQUILLA, ACEITE, PAPA, AJO, CEBOLLA, VINO BLANCO, OREGANO, CALDO DE POLLO, CHAPULIN, QUESO DE HEBRA, SAL|SOPA|México Prehispánico (Antes de 1521)|Sopas y caldos
